Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales+,"26,817","21,296","27,895","28,805","39,033","36,255","34,654","40,302","18,862","23,071","38,996","23,115","46,133"
Expenses+,"26,483","22,197","27,471","28,392","38,681","37,043","34,060","39,696","18,266","23,520","38,333","22,600","45,517"
Operating Profit,333,-901,424,413,352,-788,594,606,596,-449,664,516,615
OPM %,1%,-4%,2%,1%,1%,-2%,2%,2%,3%,-2%,2%,2%,1%
Other Income+,13,"1,723",9,12,18,"1,639",3,-4,-3,"1,350",-8,16,27
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,346,822,433,424,370,851,597,601,594,901,656,532,642
Tax %,12%,5%,12%,10%,13%,5%,13%,12%,7%,10%,9%,7%,10%
Net Profit+,304,777,381,380,322,811,520,529,551,814,594,495,577
EPS in Rs,3.04,7.76,3.81,3.80,3.21,8.10,5.19,5.28,5.50,8.12,5.93,4.93,5.75
Raw PDF,,,,,,,,,,,,,
