,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,696,649,897,886,869,837,784,858,854,919,895,866,892
Expenses +,609,570,827,723,753,740,704,759,757,820,815,767,781
Operating Profit,88,79,70,162,117,97,80,99,97,99,80,99,111
OPM %,13%,12%,8%,18%,13%,12%,10%,12%,11%,11%,9%,11%,12%
Other Income +,1,1,"1,194",1,3,2,2,1,1,2,3,8,3
Interest,14,12,15,17,22,27,24,23,26,24,21,25,22
Depreciation,19,20,20,20,20,21,26,26,26,26,26,26,26
Profit before tax,56,48,"1,229",126,78,50,33,51,47,51,35,56,66
Tax %,25%,15%,25%,25%,24%,21%,23%,25%,23%,17%,21%,26%,23%
Net Profit +,43,41,921,95,60,40,26,39,36,43,28,41,50
EPS in Rs,2.36,2.26,51.10,5.28,3.31,2.20,1.43,2.15,2.00,2.38,1.55,2.26,2.78
Raw PDF,,,,,,,,,,,,,
